Colorado,Metropolitan,Arapahoe,225,2,70,,21,132,1304,331,819,154,15
Colorado,Metropolitan,Boulder,106,0,28,,6,72,527,135,360,32,9
Colorado,Metropolitan,Clear Creek,19,0,0,,0,19,84,21,50,13,2
Colorado,Metropolitan,Douglas,164,1,60,,9,94,1649,301,1219,129,25
Colorado,Metropolitan,El Paso,343,1,80,,15,247,1929,410,1346,173,16
Colorado,Metropolitan,Gilpin,3,0,0,,1,2,40,6,32,2,0
Colorado,Metropolitan,Jefferson,181,1,53,,18,109,2689,500,1970,219,10
Colorado,Metropolitan,Larimer,168,3,32,,8,125,1035,204,729,102,10
Colorado,Metropolitan,Mesa,201,1,55,,9,136,1262,270,893,99,10
Colorado,Metropolitan,Park,13,1,2,,0,10,57,17,39,1,1
Colorado,Metropolitan,Pueblo,17,1,1,,1,14,1186,210,855,121,2
Colorado,Metropolitan,Teller,18,0,5,,1,12,65,17,46,2,0
Colorado,Metropolitan,Weld,141,2,20,,5,114,689,200,424,65,10
Colorado,Nonmetropolitan,Archuleta,32,0,2,,1,29,125,44,72,9,0
Colorado,Nonmetropolitan,Baca,6,0,0,,0,6,5,2,2,1,0
Colorado,Nonmetropolitan,Chaffee,9,0,1,,2,6,51,10,38,3,0
Colorado,Nonmetropolitan,Cheyenne,6,0,0,,0,6,1,1,0,0,0
Colorado,Nonmetropolitan,Conejos,1,0,0,,0,1,50,44,1,5,0
Colorado,Nonmetropolitan,Crowley,5,0,3,,0,2,37,19,17,1,0
Colorado,Nonmetropolitan,Custer6,15,0,0,,0,15,,,53,5,4
Colorado,Nonmetropolitan,Delta,13,0,11,,0,2,151,53,82,16,1
Colorado,Nonmetropolitan,Dolores,3,1,1,,0,1,17,8,7,2,0
Colorado,Nonmetropolitan,Eagle,39,0,6,,3,30,332,56,255,21,8
Colorado,Nonmetropolitan,Fremont,25,0,5,,0,20,189,50,113,26,0
Colorado,Nonmetropolitan,Garfield,17,0,8,,0,9,220,59,146,15,3
Colorado,Nonmetropolitan,Grand,11,0,4,,0,7,74,19,51,4,0
Colorado,Nonmetropolitan,Gunnison,2,0,0,,0,2,29,0,29,0,0
Colorado,Nonmetropolitan,Hinsdale,1,0,1,,0,0,5,3,0,2,0
Colorado,Nonmetropolitan,Huerfano,9,0,1,,0,8,7,3,3,1,0
Colorado,Nonmetropolitan,Kit Carson,7,0,0,,0,7,46,17,21,8,1
Colorado,Nonmetropolitan,Lake,2,0,1,,1,0,12,4,8,0,0
Colorado,Nonmetropolitan,La Plata,48,1,15,,0,32,251,76,164,11,3
Colorado,Nonmetropolitan,Las Animas,2,0,0,,0,2,4,2,2,0,0
Colorado,Nonmetropolitan,Lincoln,0,0,0,,0,0,28,6,18,4,0
Colorado,Nonmetropolitan,Logan,13,1,2,,0,10,91,38,41,12,1
Colorado,Nonmetropolitan,Moffat,0,0,0,,0,0,36,8,27,1,2
Colorado,Nonmetropolitan,Montezuma,20,0,4,,0,16,159,44,109,6,2
Colorado,Nonmetropolitan,Montrose,11,0,2,,0,9,206,82,112,12,2
Colorado,Nonmetropolitan,Morgan,18,0,2,,0,16,82,24,53,5,1
Colorado,Nonmetropolitan,Otero,4,0,0,,0,4,93,40,41,12,0
Colorado,Nonmetropolitan,Ouray,0,0,0,,0,0,0,0,0,0,0
Colorado,Nonmetropolitan,Phillips,1,0,1,,0,0,8,2,5,1,0
Colorado,Nonmetropolitan,Pitkin,3,0,3,,0,0,31,5,22,4,0
Colorado,Nonmetropolitan,Prowers,9,0,0,,0,9,21,8,9,4,0
Colorado,Nonmetropolitan,Rio Blanco,1,0,1,,0,0,32,4,28,0,0
Colorado,Nonmetropolitan,Rio Grande,6,0,1,,0,5,11,3,5,3,0
Colorado,Nonmetropolitan,Routt,12,2,4,,0,6,55,10,43,2,1
Colorado,Nonmetropolitan,Saguache,2,0,0,,0,2,42,22,17,3,0
Colorado,Nonmetropolitan,Summit,28,1,16,,0,11,222,33,178,11,0
Colorado,Nonmetropolitan,Washington,13,0,0,,0,13,40,10,24,6,1
Delware,Metropolitan,New Castle County Police Department,1008,12,69,,218,709,4480,1112,3016,352,3
Florida,Metropolitan,Alachua,543,1,60,,74,408,1864,570,1209,85,14
Florida,Metropolitan,Baker,125,0,1,,8,116,373,106,255,12,1
Florida,Metropolitan,Bay,338,6,39,,24,269,2486,554,1767,165,1
Florida,Metropolitan,Brevard,806,3,133,,89,581,4559,945,3309,305,21
Florida,Metropolitan,Broward,261,7,30,,56,168,798,142,572,84,3
Florida,Metropolitan,Charlotte,325,0,30,,25,270,2360,400,1864,96,6
Florida,Metropolitan,Citrus,419,2,49,,37,331,1912,405,1400,107,15
Florida,Metropolitan,Clay,496,4,72,,73,347,3259,562,2579,118,12
Florida,Metropolitan,Collier,989,2,100,,163,724,4148,847,3045,256,13
Florida,Metropolitan,Escambia,1764,20,165,,319,1260,9865,2193,7148,524,23
Florida,Metropolitan,Flagler,221,1,22,,19,179,1623,339,1191,93,2
Florida,Metropolitan,Gadsden,114,0,9,,7,98,411,192,203,16,2
Florida,Metropolitan,Gulf,58,1,5,,1,51,191,76,108,7,0
Florida,Metropolitan,Hernando,472,2,43,,53,374,3651,701,2742,208,19
Florida,Metropolitan,Highlands,262,4,30,,30,198,1790,448,1269,73,7
Florida,Metropolitan,Hillsborough,2031,33,194,,371,1433,15521,3127,11342,1052,36
Florida,Metropolitan,Indian River,240,2,17,,21,200,2386,476,1803,107,5
Florida,Metropolitan,Jefferson,119,0,10,,1,108,136,63,61,12,1
Florida,Metropolitan,Lake,447,6,54,,39,348,2565,744,1670,151,11
Florida,Metropolitan,Lee,1522,17,154,,340,1011,7006,1815,4667,524,38
Florida,Metropolitan,Leon,414,1,27,,37,349,2353,567,1670,116,6
Florida,Metropolitan,Manatee,1697,12,173,,213,1299,6493,1471,4725,297,24
Florida,Metropolitan,Marion,845,6,88,,87,664,3918,1197,2482,239,7
Florida,Metropolitan,Martin,326,0,50,,50,226,1901,327,1491,83,10
Florida,Metropolitan,Miami-Dade,6179,86,379,,1661,4053,36917,5380,28314,3223,25
Florida,Metropolitan,Nassau,75,2,15,,5,53,789,332,418,39,5
Florida,Metropolitan,Okaloosa,555,6,48,,49,452,3110,600,2382,128,2
Florida,Metropolitan,Orange,5473,53,520,,1405,3495,26313,6700,17384,2229,0
Florida,Metropolitan,Osceola,780,6,76,,91,607,4595,1141,3251,203,2
Florida,Metropolitan,Palm Beach,1989,25,231,,447,1286,12732,2832,8908,992,41
Florida,Metropolitan,Pasco,1405,14,123,,181,1087,9252,1968,6617,667,50
Florida,Metropolitan,Pinellas,887,5,136,,154,592,6011,1058,4549,404,26
Florida,Metropolitan,Polk,1291,16,85,,136,1054,6791,1962,4251,578,86
Florida,Metropolitan,Santa Rosa,242,3,39,,22,178,1475,346,1042,87,6
Florida,Metropolitan,Sarasota,551,5,46,,72,428,4980,982,3825,173,4
Florida,Metropolitan,Seminole,560,2,81,,57,420,3163,856,2144,163,3
Florida,Metropolitan,St. Johns,311,2,20,,23,266,2706,467,2105,134,8
Florida,Metropolitan,St. Lucie,213,3,23,,34,153,1449,353,1002,94,19
Florida,Metropolitan,Sumter,213,1,16,,15,181,890,242,598,50,4
Florida,Metropolitan,Volusia,689,5,67,,88,529,4113,1003,2847,263,18
Florida,Metropolitan,Wakulla,102,2,11,,6,83,517,87,407,23,2
Florida,Metropolitan,Walton,172,0,14,,7,151,1152,305,782,65,4
Florida,Nonmetropolitan,Bradford,48,0,6,,4,38,179,80,93,6,0
Florida,Nonmetropolitan,Calhoun,22,0,0,,0,22,54,23,22,9,1
Florida,Nonmetropolitan,Columbia,277,2,17,,9,249,1110,467,583,60,1
Florida,Nonmetropolitan,DeSoto,86,0,7,,8,71,566,138,389,39,5
